 ,Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
74,Track_711,6,0,0,0,0,0,1.165,20.038,21.203,14.125,142,142,24.603,346.699,0,20.135,37.568,7.537,15.617,12.931,199.2,376.346,104.005,184.045,84.458
75,Track_712,6,0,0,0,0,0,1.165,19.805,20.97,9.217,143,143,63.11,191.245,0,10.159,19.939,3.712,10.391,6.481,110.046,125.056,103.935,109.491,7.46
76,Track_719,2,0,0,0,0,0,0.233,20.97,21.203,5.282,150,150,22.901,274.644,0,22.669,22.669,22.669,22.669,NaN,145.475,167.677,123.273,167.677,22.202
77,Track_720,8,2,4,0,0,0,3.029,20.97,23.999,39.616,151,151,23.671,299.822,0,18.428,54.11,4.084,13.911,16.729,167.953,289.949,103.45,186.11,59.705
78,Track_724,3,0,0,0,0,0,0.466,22.368,22.834,8.306,155,155,27.019,369.888,0,48.252,60.374,36.131,60.374,17.142,113.025,115.808,110.693,112.573,2.113
79,Track_725,6,0,0,0,0,0,1.165,22.601,23.766,18.464,156,156,22.719,287.247,0,30.086,45.809,0.584,35.217,17.227,146.199,168.766,105.93,163.054,22.597
80,Track_726,3,0,0,0,0,0,0.466,23.3,23.766,0.975,157,157,23.39,300.919,0,30.39,30.872,29.908,30.872,0.682,156.262,179.766,121.722,167.299,24.949
81,Track_727,6,0,0,0,0,0,1.165,23.3,24.465,3.007,158,158,25.131,305.06,0,30.363,60.719,10.157,32.826,20.666,175.025,217.401,101.204,205.277,39.796
82,Track_728,2,0,0,0,0,0,0.233,23.533,23.766,2.579,159,159,63.483,186.383,0,11.067,11.067,11.067,11.067,NaN,106.709,112.332,101.087,112.332,5.623
83,Track_729,3,0,0,0,0,0,0.466,23.533,23.999,3.045,160,160,26.237,319.238,0,10.872,14.32,7.424,14.32,4.876,254.96,364.597,156.567,243.718,85.299
84,Track_730,2,0,0,0,0,0,0.233,23.766,23.999,2.233,161,161,25.976,329.765,0,9.582,9.582,9.582,9.582,NaN,144.302,151.42,137.183,151.42,7.118
85,Track_732,2,0,0,0,0,0,0.233,23.999,24.232,6.465,163,163,55.024,364.612,0,27.748,27.748,27.748,27.748,NaN,121.415,126.705,116.124,126.705,5.291
86,Track_733,4,0,0,0,0,0,0.699,23.999,24.698,6.8,164,164,47.572,295.669,0,10.421,28.536,1.287,1.441,15.688,162.881,209.836,112.136,173.628,35.156
87,Track_736,11,0,0,0,0,0,2.33,24.232,26.562,14.021,167,167,42.501,367.667,0,9.533,14.683,3.807,8.441,3.608,156.174,270.673,100.561,148.218,41.657
88,Track_743,7,1,1,0,0,0,1.631,27.727,29.358,17.962,174,174,47.368,350.734,0,18.901,49.716,9.858,14.833,15.326,158.245,220.306,106.316,146.257,43.184
